Recipient GB_SE_England GB_SW_Wales GB_SE_Wales GB_Cornwall GB_N_Yorkshire GB_S_Yorkshire GB_Merseyside GB_SC_England GB_NC_England GB_Devon GB_Anglia GB_NW_Wales GB_Northumberland GB_Cumbria GB_Noi_SWscot GB_Lincolnshire GB_S_England GB_NE_Scot GB_NW_Scot GB_Orkney HGDP_biaka_pygmies HGDP_Mandenka HGDP_mozabite HGDP_bedouin HGDP_balochi HGDP_yoruba HGDP_bantu_ne HGDP_palestinian HGDP_druze HGDP_sindhi HGDP_pathan HGDP_han HGDP_hazara HGDP_Burusho HGDP_tujia HGDP_mongola HGDP_hezhen HGDP_oroqen HGDP_yakut NAN_Melanesian HGDP_french HGDP_french_bsq HGDP_italian_n HGDP_cambodians HGDP_sardinian HGDP_papuan HGDP_japanese HGDP_russian HGDP_adygei HGDP_surui HGDP_pima HM3_lwk_kenya HM3_tsi_usa HM3_yri_nigeria BB_armenian BB_bulgarian BB_chechen BB_chuvash BB_croatian BB_cypriot BB_german BB_greek BB_hungarian BB_iranian GB_Ireland BB_italians BB_mordovian BB_norwegian BB_polish BB_romanian BB_spanish BB_syrian BB_turkish BB_ukrainian 
SR16_SR16 279.51 113.779 141.469 189.232 201.425 164.975 159.239 349.015 394.467 152.698 378.117 154.106 314.565 383.987 154.489 214.092 127.218 105.56 70.0828 199.709 27.1166 25.7358 14.247 13.3351 26.4684 26.692 28.1935 13.8471 14.8166 26.0602 27.5562 174.664 76.4817 37.5288 167.194 131.475 128.482 119.688 95.1606 239.85 28.2762 30.0177 26.6499 176.22 34.7739 103.728 158.39 57.7299 18.7413 66.5891 77.6499 25.1523 32.5337 26.3406 12.1162 35.9187 12.4762 28.5909 34.837 11.3523 30.0099 36.914 35.8994 17.3654 14.0643 32.3827 45.9811 23.5443 26.3077 34.0278 35.1312 13.5219 19.7204 36.5884 
SR29_SR29 259.633 105.113 118.825 172.003 169.269 147.85 149.234 317.584 363.062 139.333 339.974 136.689 289.309 344.992 134.386 197.056 118.751 94.0003 66.7534 174.67 11.1245 11.7382 10.7054 10.0225 18.0687 9.48169 11.8944 11.1433 12.1511 31.3011 29.213 222.89 81.8611 45.5651 198.806 169.863 158.562 153.826 114.975 429.612 26.384 28.1838 22.1902 212.673 29.6543 174.683 188.138 58.7051 19.1392 63.3158 92.6968 11.8596 30.219 11.1367 12.0264 41.7603 14.7337 28.9552 30.5903 10.5249 29.6114 33.5681 31.7491 14.0236 10.5982 29.6552 44.8299 22.3206 27.8319 35.3775 29.023 12.8531 18.4648 33.1022 
SR32_SR32 246.996 100.108 110.767 170.903 167.824 143.398 147.141 305.059 343.615 128.861 343.757 142.622 289.484 324.958 138.59 194.949 118.199 96.9934 60.5338 165.778 9.92245 12.7357 10.1765 11.5755 21.8961 12.4078 11.7343 10.9252 10.6545 29.0322 27.6826 216.498 83.2103 46.6186 203.939 157.796 172.759 163.018 106.012 466.749 25.823 24.9663 23.3017 239.442 29.2585 186.966 196.034 63.3373 19.3645 74.459 82.1718 11.6746 29.503 11.9236 12.6946 34.7786 16.8838 32.9169 30.0039 10.9818 29.0102 32.4588 36.5367 16.5992 11.6006 28.2754 46.2518 21.0726 26.0483 35.2551 26.6265 12.0146 19.8162 37.9419 
SR35_SR35 262.423 102.081 123.942 166.463 186.087 148.569 156.43 333.966 363.49 143.436 347.011 143.519 298.63 350.778 145.004 192.204 126.863 99.711 59.1871 181.726 7.98198 8.96331 9.12158 11.5283 17.7525 8.46353 9.48003 12.0285 10.3351 33.1811 27.845 211.696 83.5138 37.6913 196.732 174.6 170.132 148.193 109.295 394.287 26.6325 25.6117 24.9252 203.62 28.7186 155.418 182.796 63.7513 18.1507 67.561 76.804 10.221 32.6828 10.2041 9.81759 33.6099 17.032 33.0317 35.3816 9.08873 30.8863 34.3564 35.1972 17.1715 10.7718 31.187 41.3351 24.76 24.2438 29.8502 31.696 11.5158 20.8185 38.6791 
ST23_ST23 248.599 101.042 118.858 159.177 179.514 139.278 149.852 297.566 349.512 135.119 339.109 141.546 283.98 338.497 133.772 192.943 111.504 92.3516 60.4695 171.391 9.5719 10.4517 10.1001 12.0741 20.7559 9.89262 11.8559 10.9049 12.5462 27.2771 26.8445 233.73 83.3017 42.1275 222.819 188.121 161.669 161.363 117.638 444.353 27.6991 22.6437 27.5126 220.208 26.8742 171.628 208.231 54.9362 17.7951 64.523 96.3215 10.8981 30.6807 11.4208 11.4543 35.9399 14.848 33.9579 31.1835 11.7007 26.7121 32.5871 32.6507 16.9064 9.60484 28.3126 45.9145 21.2778 26.7205 33.9155 30.0849 12.7586 19.3428 33.1508 
SR36_SR36 244.849 98.2511 117.797 168.711 178.194 140.466 147.803 307.654 360.16 135.308 332.401 136.359 277.478 336.684 133.633 195.994 119.993 95.208 61.1932 170.662 14.7445 14.4211 10.4636 9.73823 23.5932 14.3845 15.9292 14.0657 13.0048 31.0699 28.162 229.475 83.1274 42.2541 200.501 153.205 184.391 147.992 104.953 424.315 29.6857 28.811 24.6801 231.652 28.6045 168.79 192.239 66.8012 18.6469 75.3219 87.2443 11.6459 31.9811 16.092 13.2689 40.6048 14.397 30.6947 29.8793 11.6589 28.5217 34.4733 35.4197 15.2668 11.8317 32.8374 48.6634 22.847 25.925 33.8693 28.6459 11.3481 24.4623 36.4721 
ST2_ST2 253.206 106.789 124.107 176.4 182.327 143.118 152.894 317.102 353.501 134.184 339.908 140.47 290.554 334.624 135.158 195.191 112.255 97.4723 61.4792 181.421 9.15421 10.7394 7.66006 13.1512 18.9069 11.9954 9.66471 11.3957 12.7384 31.9886 28.2996 214.765 73.7724 39.4225 200.471 167.054 166.738 161.512 102.953 454.432 26.9738 30.3102 24.1353 200.225 31.5715 181.288 180.77 59.7896 17.7119 72.8256 94.496 10.3579 32.1043 9.87867 13.6586 31.6721 15.1386 35.7704 33.8173 9.92945 25.9672 35.558 32.3939 16.9273 11.3379 27.2886 46.4068 20.5761 29.8444 29.7877 30.2327 13.4954 17.5646 33.0908 
ST4_ST4 251.389 106.171 120.351 168.662 185.67 145.771 149.004 317.544 360.958 139.727 333.896 145.674 276.273 341.421 140.029 204.069 113.771 102.438 63.1068 177.891 10.1926 11.4657 10.0802 8.45834 19.3591 11.9031 10.5455 11.7754 15.2979 28.2964 27.4515 224.804 81.7618 38.3192 203.969 164.003 176.919 161.822 105.32 434.494 27.67 24.3829 23.1032 212.284 28.0341 178.941 183.26 61.9946 18.7501 66.8757 81.8824 10.8655 31.1543 10.5945 11.1701 34.5572 13.8167 34.0561 32.2356 9.5562 27.3394 32.4133 30.6115 17.8299 13.3871 27.0995 46.5789 20.4102 24.7816 29.2565 29.1565 11.3852 19.9388 36.446 
ST5_ST5 239.941 96.6766 110.751 161.545 171.3 139.625 140.662 295.696 342.884 133.959 323.122 134.136 273.657 330.898 135.171 179.79 108.948 93.8575 61.0193 173.155 19.6718 21.1901 11.6912 10.585 23.0405 21.3396 20.4411 11.5029 11.108 29.812 22.2501 247.517 86.511 46.9491 229.628 182.915 188.915 171.357 124.572 396.201 29.7978 26.3102 23.9337 237.32 30.774 154.678 216.818 59.4688 19.1023 68.9511 86.4731 19.5697 34.8493 26.0688 12.0723 33.9209 11.155 34.7095 30.1627 9.79396 28.8491 33.4646 35.4623 18.8103 11.1664 30.0543 43.0757 20.4494 24.1572 30.5837 29.071 12.9612 20.6722 33.1759 
ST8_ST8 243.239 100.35 119.599 165.639 179.383 132.017 148.716 307.857 354.641 139.641 345.522 141.009 282.027 331.071 138.019 188.561 119.693 97.7296 61.8803 167.563 10.4616 11.5672 9.59503 10.8397 18.9309 8.98253 10.3978 10.5858 9.70831 29.6393 29.2878 248.125 85.7565 44.4583 205.918 171.977 172.256 158.622 103.936 436.416 26.5943 31.4079 23.1848 234.582 28.8383 167.354 196.558 57.7266 17.2895 80.683 87.6147 11.0758 30.753 10.5295 11.737 35.197 15.132 27.191 33.6977 11.8825 30.1284 34.6207 31.9541 18.6274 12.4574 26.8524 42.6323 20.1589 23.7248 33.9608 30.2292 13.3377 20.6909 31.8495 
